$GPRMC,211847.00,A,3003.93101,N,03116.63479,E,1.427,65.36,060621,,,A*
$GPRMC,211849.00,A,3003.93139,N,03116.63560,E,1.500,70.22,060621,,,A*
$GPRMC,211851.00,A,3003.93145,N,03116.63666,E,1.518,76.73,060621,,,A*
$GPRMC,211853.00,A,3003.93168,N,03116.63746,E,1.249,75.65,060621,,,A*
$GPRMC,211855.00,A,3003.93205,N,03116.63826,E,1.565,68.98,060621,,,A*
$GPRMC,211857.00,A,3003.93236,N,03116.63914,E,1.738,72.21,060621,,,A*
$GPRMC,211859.00,A,3003.93272,N,03116.64010,E,1.532,68.21,060621,,,A*
$GPRMC,211901.00,A,3003.93318,N,03116.64091,E,1.528,62.77,060621,,,A*
$GPRMC,211903.00,A,3003.93351,N,03116.64158,E,1.075,,060621,,,A*
$GPRMC,211905.00,A,3003.93387,N,03116.64226,E,1.495,68.48,060621,,,A*
$GPRMC,211907.00,A,3003.93403,N,03116.64273,E,0.770,,060621,,,A*
$GPRMC,211909.00,A,3003.93431,N,03116.64350,E,1.334,,060621,,,A*
$GPRMC,211911.00,A,3003.93437,N,03116.64447,E,1.358,66.15,060621,,,A*
$GPRMC,211913.00,A,3003.93443,N,03116.64532,E,1.427,68.46,060621,,,A*
$GPRMC,211915.00,A,3003.93515,N,03116.64655,E,1.265,68.03,060621,,,A*
$GPRMC,211917.00,A,3003.93542,N,03116.64724,E,1.437,63.62,060621,,,A*
$GPRMC,211919.00,A,3003.93572,N,03116.64788,E,1.007,66.71,060621,,,A*
$GPRMC,211921.00,A,3003.93603,N,03116.64845,E,1.087,,060621,,,A*
$GPRMC,211923.00,A,3003.93625,N,03116.64876,E,0.524,,060621,,,A*
$GPRMC,211925.00,A,3003.93650,N,03116.64878,E,0.328,,060621,,,A*
$GPRMC,211927.00,A,3003.93658,N,03116.64918,E,0.593,,060621,,,A*
$GPRMC,211929.00,A,3003.93671,N,03116.64972,E,1.480,63.09,060621,,,A*
$GPRMC,211931.00,A,3003.93689,N,03116.65048,E,1.456,68.02,060621,,,A*
$GPRMC,211933.00,A,3003.93705,N,03116.65171,E,1.844,73.67,060621,,,A*
$GPRMC,211935.00,A,3003.93734,N,03116.65196,E,1.540,75.62,060621,,,A*
$GPRMC,211937.00,A,3003.93768,N,03116.65315,E,1.679,71.82,060621,,,A*
$GPRMC,211939.00,A,3003.93804,N,03116.65382,E,1.436,68.66,060621,,,A*
$GPRMC,211941.00,A,3003.93828,N,03116.65522,E,1.556,73.79,060621,,,A*
$GPRMC,211943.00,A,3003.93844,N,03116.65637,E,1.711,76.06,060621,,,A*
$GPRMC,211945.00,A,3003.93852,N,03116.65768,E,1.275,76.61,060621,,,A*
